dataset,subject,class,total,train,val,test,effective_sessions,time_points,channels,status
vs,S28,5,87,69,8,10,6,2048,32,ok
vs,S28,6,87,69,8,10,6,2048,32,ok
vs,S28,7,87,69,8,10,6,2048,32,ok
vs,S28,8,87,69,8,10,6,2048,32,ok
vs,S28,9,87,69,8,10,6,2048,32,ok
vs,S29,1,75,60,7,8,5,2048,32,ok
vs,S29,2,75,60,7,8,5,2048,32,ok
vs,S29,3,75,60,7,8,5,2048,32,ok
vs,S29,4,75,60,7,8,5,2048,32,ok
vs,S29,5,75,60,7,8,5,2048,32,ok
vs,S29,6,75,60,7,8,5,2048,32,ok
vs,S29,7,75,60,7,8,5,2048,32,ok
vs,S29,8,75,60,7,8,5,2048,32,ok
vs,S29,9,75,60,7,8,5,2048,32,ok
vs,S35,1,33,26,3,4,2,2048,32,ok
vs,S35,2,33,26,3,4,2,2048,32,ok
vs,S35,3,33,26,3,4,2,2048,32,ok
vs,S35,4,33,26,3,4,2,2048,32,ok
vs,S35,5,33,26,3,4,2,2048,32,ok
vs,S35,6,33,26,3,4,2,2048,32,ok
vs,S35,7,33,26,3,4,2,2048,32,ok
vs,S35,8,33,26,3,4,2,2048,32,ok
vs,S35,9,33,26,3,4,2,2048,32,ok
vi,S01,1,60,48,6,6,,512,32,ok
vi,S01,2,60,48,6,6,,512,32,ok
vi,S01,3,60,48,6,6,,512,32,ok
vi,S01,4,60,48,6,6,,512,32,ok
vi,S01,5,60,48,6,6,,512,32,ok
vi,S01,6,60,48,6,6,,512,32,ok
vi,S01,7,60,48,6,6,,512,32,ok
vi,S01,8,60,48,6,6,,512,32,ok
vi,S01,9,60,48,6,6,,512,32,ok
vi,S02,1,60,48,6,6,,512,32,ok
vi,S02,2,60,48,6,6,,512,32,ok
vi,S02,3,60,48,6,6,,512,32,ok
vi,S02,4,60,48,6,6,,512,32,ok
vi,S02,5,60,48,6,6,,512,32,ok
vi,S02,6,60,48,6,6,,512,32,ok
vi,S02,7,60,48,6,6,,512,32,ok
vi,S02,8,60,48,6,6,,512,32,ok
vi,S02,9,60,48,6,6,,512,32,ok
vi,S03,1,60,48,6,6,,512,32,ok
vi,S03,2,60,48,6,6,,512,32,ok
vi,S03,3,60,48,6,6,,512,32,ok
vi,S03,4,60,48,6,6,,512,32,ok
vi,S03,5,60,48,6,6,,512,32,ok
vi,S03,6,60,48,6,6,,512,32,ok
vi,S03,7,60,48,6,6,,512,32,ok
vi,S03,8,60,48,6,6,,512,32,ok
vi,S03,9,60,48,6,6,,512,32,ok
vi,S04,1,60,48,6,6,,512,32,ok
vi,S04,2,60,48,6,6,,512,32,ok
vi,S04,3,60,48,6,6,,512,32,ok
vi,S04,4,60,48,6,6,,512,32,ok
vi,S04,5,60,48,6,6,,512,32,ok
vi,S04,6,60,48,6,6,,512,32,ok
vi,S04,7,60,48,6,6,,512,32,ok
vi,S04,8,60,48,6,6,,512,32,ok
vi,S04,9,60,48,6,6,,512,32,ok
vi,S05,1,60,48,6,6,,512,32,ok
vi,S05,2,60,48,6,6,,512,32,ok
vi,S05,3,60,48,6,6,,512,32,ok
vi,S05,4,60,48,6,6,,512,32,ok
vi,S05,5,60,48,6,6,,512,32,ok
vi,S05,6,60,48,6,6,,512,32,ok
vi,S05,7,60,48,6,6,,512,32,ok
vi,S05,8,60,48,6,6,,512,32,ok
vi,S05,9,60,48,6,6,,512,32,ok
vi,S06,1,60,48,6,6,,512,32,ok
vi,S06,2,60,48,6,6,,512,32,ok
vi,S06,3,60,48,6,6,,512,32,ok
vi,S06,4,60,48,6,6,,512,32,ok
vi,S06,5,60,48,6,6,,512,32,ok
vi,S06,6,60,48,6,6,,512,32,ok
vi,S06,7,60,48,6,6,,512,32,ok
vi,S06,8,60,48,6,6,,512,32,ok
vi,S06,9,60,48,6,6,,512,32,ok
vi,S07,1,60,48,6,6,,512,32,ok
vi,S07,2,60,48,6,6,,512,32,ok
vi,S07,3,60,48,6,6,,512,32,ok
vi,S07,4,60,48,6,6,,512,32,ok
vi,S07,5,60,48,6,6,,512,32,ok
vi,S07,6,60,48,6,6,,512,32,ok
vi,S07,7,60,48,6,6,,512,32,ok
vi,S07,8,60,48,6,6,,512,32,ok
vi,S07,9,60,48,6,6,,512,32,ok
vi,S08,1,60,48,6,6,,512,32,ok
vi,S08,2,60,48,6,6,,512,32,ok
vi,S08,3,60,48,6,6,,512,32,ok
vi,S08,4,60,48,6,6,,512,32,ok
vi,S08,5,60,48,6,6,,512,32,ok
vi,S08,6,60,48,6,6,,512,32,ok
vi,S08,7,60,48,6,6,,512,32,ok
vi,S08,8,60,48,6,6,,512,32,ok
vi,S08,9,60,48,6,6,,512,32,ok
vi,S09,1,60,48,6,6,,512,32,ok
vi,S09,2,60,48,6,6,,512,32,ok
vi,S09,3,60,48,6,6,,512,32,ok
vi,S09,4,60,48,6,6,,512,32,ok
vi,S09,5,60,48,6,6,,512,32,ok
vi,S09,6,60,48,6,6,,512,32,ok
vi,S09,7,60,48,6,6,,512,32,ok
vi,S09,8,60,48,6,6,,512,32,ok
vi,S09,9,60,48,6,6,,512,32,ok
vi,S10,1,60,48,6,6,,512,32,ok
vi,S10,2,60,48,6,6,,512,32,ok
vi,S10,3,60,48,6,6,,512,32,ok
vi,S10,4,60,48,6,6,,512,32,ok
vi,S10,5,60,48,6,6,,512,32,ok
vi,S10,6,60,48,6,6,,512,32,ok
vi,S10,7,60,48,6,6,,512,32,ok
vi,S10,8,60,48,6,6,,512,32,ok
vi,S10,9,60,48,6,6,,512,32,ok
vi,S11,1,60,48,6,6,,512,32,ok
vi,S11,2,60,48,6,6,,512,32,ok
vi,S11,3,60,48,6,6,,512,32,ok
vi,S11,4,60,48,6,6,,512,32,ok
vi,S11,5,60,48,6,6,,512,32,ok
vi,S11,6,60,48,6,6,,512,32,ok
vi,S11,7,60,48,6,6,,512,32,ok
vi,S11,8,60,48,6,6,,512,32,ok
vi,S11,9,60,48,6,6,,512,32,ok
vi,S12,1,60,48,6,6,,512,32,ok
vi,S12,2,60,48,6,6,,512,32,ok
vi,S12,3,60,48,6,6,,512,32,ok
vi,S12,4,60,48,6,6,,512,32,ok
vi,S12,5,60,48,6,6,,512,32,ok
vi,S12,6,60,48,6,6,,512,32,ok
vi,S12,7,60,48,6,6,,512,32,ok
vi,S12,8,60,48,6,6,,512,32,ok
vi,S12,9,60,48,6,6,,512,32,ok
vi,S13,1,60,48,6,6,,512,32,ok
vi,S13,2,60,48,6,6,,512,32,ok
vi,S13,3,60,48,6,6,,512,32,ok
